molecule_chembl_id,canonical_smiles,standard_value
CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,36.0
CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,110.0
CHEMBL128686,CC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,47.0
CHEMBL128781,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(F)cccc1Cl,48.0
CHEMBL339095,COc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,1990.0
CHEMBL127275,Cc1cc([N+](=O)[O-])cc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,66.0
CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,80.0
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,54.0
CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,180.0
CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,200.0
CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,32.0
CHEMBL340742,O=C1NCc2nc(Sc3ccccc3C(F)(F)F)ccc2N1c1c(Cl)cccc1Cl,1850.0
CHEMBL129380,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1,600.0
CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,260.0
CHEMBL341364,COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,100.0
CHEMBL423517,O=C1NCc2nc(NCc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,340.0
