molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,,Standard_1,,,
CHEMBL419134,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(CC4CC4)CC3)cc2N1c1c(Cl)cccc1Cl,active,0.5,,26.1,CHEMBL607557,CC(C)C1=NNC2C=CC(Cc3ccc(F)cc3F)=CN12,active
CHEMBL96091,COc1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,11,,85,CHEMBL610487,CC(C)C1=NNC2C=CC(CCc3ccc(F)cc3F)=CN12,active
CHEMBL94825,O=C1NCc2c(-c3ccccc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,0.2,,160,CHEMBL96741,Fc1ccc(-c2ncn(CC3CC3)c2-c2ccncc2)cc1,active
CHEMBL264627,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(CC4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl,active,0.6,,25,CHEMBL590753,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CC2CC2)n1,active
CHEMBL96632,COc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,6,,0.74,CHEMBL388582,O=C1CCc2ccccc2N1,active
CHEMBL96432,O=C1NCc2c(-c3ccc(F)cc3F)cc(NC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,0.6,,960,CHEMBL590754,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1,active
CHEMBL94556,COC(=O)c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,1,,405.2,CHEMBL589415,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2ccccc2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL96345,CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,1.2,,16,CHEMBL590871,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2ccc(F)cc2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL94852,COC(=O)c1cc(-c2cccc(F)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,79,,48.8,CHEMBL589602,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2ccc(F)c(Cl)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL94719,COC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,130,,60.1,CHEMBL589603,Cc1cc(-c2[nH]c(C(F)(F)F)nc2C(=O)Nc2ccc(C)c(Nc3ccc4ncn(C)c(=O)c4c3)c2)ccc1F,active
CHEMBL328252,COC(=O)c1cc(-c2ccc(F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,22,,100.2,CHEMBL600047,Cc1ccc(-c2[nH]c(C(F)(F)F)nc2C(=O)Nc2ccc(C)c(Nc3ccc4ncn(C)c(=O)c4c3)c2)cc1F,active
CHEMBL96487,O=C1NCc2c(-c3ccccc3Cl)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,1.4,,94.4,CHEMBL591673,COc1cc(-c2[nH]c(C(F)(F)F)nc2C(=O)Nc2ccc(C)c(Nc3ccc4ncn(C)c(=O)c4c3)c2)cc(OC)c1OC,active
CHEMBL318934,CC(C1CC1)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,0.3,,105.2,CHEMBL591526,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2cccc(C(F)(F)F)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL316604,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,0.2,,468.4,CHEMBL591661,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2ccccc2C(F)(F)F)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL421194,COC(=O)c1cc(-c2ccccc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,30,,11,CHEMBL591275,Cc1ccc(NC(=O)c2nc(C(F)(F)F)[nH]c2-c2ccc(F)c(F)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL421566,COC(=O)c1cc(-c2cccc(Cl)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,67,,96.3,CHEMBL591276,Cc1ccc(-c2[nH]c(C(C)(C)C)nc2C(=O)Nc2ccc(C)c(Nc3ccc4ncn(C)c(=O)c4c3)c2)cc1,active
CHEMBL94444,O=C(c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1,active,1.5,,121.7,CHEMBL605404,Cc1ccc(NC(=O)c2nc(-c3ccccc3)[nH]c2-c2ccccc2)cc1Nc1ccc2ncn(C)c(=O)c2c1,active
CHEMBL327959,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,0.1,,1.6,CHEMBL1076741,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2ccccc2Cl)c1,active
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,515,,4.6,CHEMBL1087386,Cc1ccc(C(=O)NC2CC2)cc1Nc1nncc2c1cnn2-c1cccc(F)c1,active
CHEMBL128414,O=C(O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,96,,5,CHEMBL1088440,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2cccc(F)c2)c1,active
CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,36,,8.5,CHEMBL1088441,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2ccc(F)cc2)c1,active
CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,110,,12,CHEMBL1088442,CCCNC(=O)c1ccc(C)c(Nc2nncc3c2cnn3-c2ccc(F)cc2F)c1,active
CHEMBL128686,CC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,47,,3,CHEMBL1088443,Cc1ccc(C(=O)NC2CC2)cc1Nc1nncc2c1cnn2-c1ccc(F)cc1F,active
CHEMBL128781,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(F)cccc1Cl,active,48,,43,CHEMBL1088031,O=C(NC1CC1)c1ccc(F)c(Nc2nncc3c2cnn3-c2ccc(F)cc2F)c1,active
CHEMBL127275,Cc1cc([N+](=O)[O-])cc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,66,,3.3,CHEMBL1088032,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2ccc(F)cc2F)c1,active
CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,80,,10,CHEMBL1088166,Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1ccc(F)cc1F,active
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,54,,36,CHEMBL1088167,O=C(NC1CC1)c1ccc(Cl)c(Oc2nncc3c2cnn3-c2ccc(F)cc2F)c1,active
CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,active,180,,2.1,CHEMBL1081990,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2cc(F)ccc2F)c1,active
CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,200,,1.7,CHEMBL1081991,Cc1ccc(C(=O)NC2CC2)cc1Nc1nncc2c1cnn2-c1c(F)cccc1F,active
CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,32,,1.4,CHEMBL1082158,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1,active
CHEMBL129380,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1,active,600,,3,CHEMBL1082159,Cc1ccc(C(=O)NC2CC2)cc1Oc1nncc2c1cnn2-c1c(F)cccc1F,active
CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,260,,4.1,CHEMBL1082182,Cc1ccc(C(=O)NC2CC2)cc1Nc1nnc(C)c2c1cnn2-c1ccc(F)cc1,active
CHEMBL341364,COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,100,,2.3,CHEMBL1076560,Cc1nnc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3)c12,active
CHEMBL423517,O=C1NCc2nc(NCc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,340,,7.7,CHEMBL1082183,Cc1ccc(C(=O)NC2CC2)cc1Oc1nnc(C)c2c1cnn2-c1ccc(F)cc1,active
CHEMBL129112,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,80,,2.7,CHEMBL1080673,Cc1ccc(C(=O)NC2CC2)cc1Nc1nnc(C)c2c1cnn2-c1ccc(F)cc1F,active
CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,9,,10,CHEMBL1082205,Cc1c(F)cc(C(=O)NC2CC2)cc1Nc1nnc(C)c2c1cnn2-c1ccc(F)cc1F,active
CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,active,110,,1.6,CHEMBL1082206,Cc1nnc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c12,active
CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,38,,6.3,CHEMBL1081037,Cc1ccc(C(=O)NC2CC2)cc1Oc1nnc(C)c2c1cnn2-c1ccc(F)cc1F,active
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,25,,1.7,CHEMBL1081208,Cc1nnc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3c(F)cccc3F)c12,active
