,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
40,CHEMBL327959,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,0.1
41,CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,515.0
42,CHEMBL128414,O=C(O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,96.0
43,CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,36.0
44,CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,110.0
45,CHEMBL128686,CC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,47.0
46,CHEMBL128781,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(F)cccc1Cl,active,48.0
48,CHEMBL127275,Cc1cc([N+](=O)[O-])cc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,66.0
49,CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,80.0
50,CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,54.0
51,CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,active,180.0
52,CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,200.0
53,CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,32.0
55,CHEMBL129380,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1,active,600.0
56,CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,260.0
57,CHEMBL341364,COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,100.0
58,CHEMBL423517,O=C1NCc2nc(NCc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,340.0
59,CHEMBL129112,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,80.0
60,CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,9.0
61,CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,active,110.0
63,CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,38.0
64,CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,25.0
65,CHEMBL340377,O=C1NCc2nc(Sc3ccccc3F)ccc2N1c1c(Cl)cccc1Cl,active,450.0
66,CHEMBL129720,NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,23.0
67,CHEMBL128813,O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,30.0
68,CHEMBL338612,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1Cl,active,69.0
70,CHEMBL335878,O=C1NCc2nc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,active,113.0
71,CHEMBL131194,O=C1NCc2nc(Sc3ccccc3Br)ccc2N1c1c(Cl)cccc1Cl,active,120.0
72,CHEMBL128515,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl,active,230.0
73,CHEMBL129659,O=C1NCc2nc(Sc3cc(Cl)ccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,350.0
75,CHEMBL341029,O=C1NCc2nc(Sc3c(Cl)cccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,49.0
76,CHEMBL129775,CC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,16.0
77,CHEMBL131176,O=C1NCc2nc(Sc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,active,270.0
78,CHEMBL95206,CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,170.0
79,CHEMBL329447,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,active,100.0
80,CHEMBL97451,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCS(=O)(=O)CC2)n1,active,390.0
81,CHEMBL95931,CCOC(=O)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,33.0
82,CHEMBL95692,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,19.0
83,CHEMBL330196,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCOCC2)n1,active,230.0
84,CHEMBL329469,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccncc3)n2)CC1,active,610.0
85,CHEMBL319716,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,18.0
86,CHEMBL419149,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,27.0
87,CHEMBL408876,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,active,1.5
88,CHEMBL274863,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1,active,480.0
89,CHEMBL95365,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCc3ccccc3)n2)CC1,active,45.0
90,CHEMBL329080,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Oc3ccccc3)n2)CC1,active,12.0
91,CHEMBL318892,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,active,3.0
92,CHEMBL95521,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(CC(F)(F)F)CC2)n1,active,42.0
93,CHEMBL97550,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Nc3ccccc3)n2)cc1,active,1.4
94,CHEMBL319988,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,83.0
95,CHEMBL329049,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1,active,8.5
96,CHEMBL274064,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,20.0
97,CHEMBL95207,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,86.0
98,CHEMBL330422,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1,active,53.0
99,CHEMBL97162,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,34.0
100,CHEMBL316917,CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(N)n1,active,170.0
101,CHEMBL275798,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1,active,20.0
102,CHEMBL97604,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(=O)CC2)n1,active,160.0
103,CHEMBL95797,CC(C)Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,53.0
104,CHEMBL95502,CC1(C)CC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC(C)(C)N1,active,58.0
105,CHEMBL420081,CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,active,9.6
106,CHEMBL327949,CCOc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,79.0
107,CHEMBL152596,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)cc1,active,145.0
108,CHEMBL356455,COc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,active,5.0
110,CHEMBL347576,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2[N+](=O)[O-])cc1Cl,active,437.0
111,CHEMBL152209,Cc1cccc(C(=O)c2ccc(Nc3ccccc3N)cc2)c1,active,574.0
112,CHEMBL155567,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2)cc1Cl,active,7.0
114,CHEMBL153265,Cc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,12.0
115,CHEMBL357732,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1,active,29.0
116,CHEMBL356157,Cc1cc(C(=O)c2ccccc2C)ccc1Nc1ccccc1N,active,143.0
117,CHEMBL152208,Cc1cc(F)ccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,4.0
118,CHEMBL347496,Cc1ccccc1C(=O)c1ccc(Nc2ccc(Br)cc2N)cc1Cl,active,39.0
119,CHEMBL279416,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccncc2)cc1,active,38.0
120,CHEMBL356809,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2-c2ccccc2)cc1,active,811.0
121,CHEMBL152767,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,active,10.0
122,CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,active,29.0
123,CHEMBL152349,O=C(c1ccccc1)c1ccc(Nc2ccccc2)cc1,active,193.0
124,CHEMBL347770,Cc1ccccc1C(=O)c1ccc(N(C)c2ccccc2N)cc1Cl,active,101.0
125,CHEMBL422510,CC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,63.0
126,CHEMBL152440,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2Br)cc1,active,54.0
127,CHEMBL152820,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1C,active,13.0
128,CHEMBL155508,CCNC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,21.0
129,CHEMBL153012,CCOC(=O)Nc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,42.0
130,CHEMBL155448,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)c(Cl)c1,active,139.0
132,CHEMBL358548,COn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,68.0
133,CHEMBL342503,CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,24.0
134,CHEMBL141999,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCOCC3)c3cccnc23)cc1,active,185.0
135,CHEMBL143389,Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCCC3)c3cccnc23)cc1,active,217.0
137,CHEMBL142753,OCCCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,5.0
139,CHEMBL356355,OCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,172.0
140,CHEMBL336002,Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,98.0
141,CHEMBL142381,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cncnc23)cc1,active,895.0
142,CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,1.0
143,CHEMBL143476,OCCNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,3.0
144,CHEMBL143307,Fc1ccc(-c2c(-c3ccncc3)[nH]c3nccnc23)cc1,active,53.0
145,CHEMBL358537,C[C@@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,1.0
146,CHEMBL313417,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,active,400.0
148,CHEMBL344955,Fc1ccc(-c2c(-c3ccncc3)[nH]c3cccnc23)cc1,active,6.5
149,CHEMBL142523,Fc1ccc(-c2c(-c3ccncc3)oc3cccnc23)cc1,active,86.0
150,CHEMBL356756,COCCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21,active,21.0
152,CHEMBL142367,CCC(O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,active,3.0
153,CHEMBL302379,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1,active,58.0
155,CHEMBL291413,O=C(Nc1cc(C2CCC2)no1)Nc1cccc(Cl)c1Cl,active,370.0
156,CHEMBL62008,CC(C)(C)Cc1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,active,120.0
157,CHEMBL64510,CC(C)(C)c1ccc(NC(=O)Nc2cccc(Cl)c2Cl)s1,active,120.0
158,CHEMBL304936,CCC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,active,120.0
159,CHEMBL64644,Cc1c(C(C)C)noc1NC(=O)Nc1cccc(Cl)c1Cl,active,920.0
160,CHEMBL61510,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)on1,active,260.0
161,CHEMBL61628,CC(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,active,290.0
162,CHEMBL292482,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)on1,active,36.0
