,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
30,CHEMBL96345,CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,532.8740000000001,8.013500000000006,1.0,2.0,8.920818753952375
31,CHEMBL94852,COC(=O)c1cc(-c2cccc(F)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,445.2770000000001,5.947400000000004,1.0,3.0,7.102372908709558
32,CHEMBL94719,COC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,495.28400000000016,6.827100000000004,1.0,3.0,6.886056647693163
33,CHEMBL328252,COC(=O)c1cc(-c2ccc(F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,445.2770000000001,5.947400000000004,1.0,3.0,7.657577319177793
34,CHEMBL96487,O=C1NCc2c(-c3ccccc3Cl)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,487.8180000000002,6.084700000000005,2.0,3.0,8.853871964321762
35,CHEMBL318934,CC(C1CC1)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,572.939,8.792100000000001,1.0,2.0,9.522878745280337
36,CHEMBL316604,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,active,560.9280000000001,8.792100000000001,1.0,2.0,9.698970004336019
37,CHEMBL421194,COC(=O)c1cc(-c2ccccc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,427.2870000000001,5.808300000000003,1.0,3.0,7.522878745280337
38,CHEMBL421566,COC(=O)c1cc(-c2cccc(Cl)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,active,461.73200000000014,6.461700000000004,1.0,3.0,7.173925197299173
39,CHEMBL94444,O=C(c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1,active,515.8280000000002,5.720500000000005,2.0,3.0,8.823908740944319
40,CHEMBL327959,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,active,520.8190000000003,6.945000000000004,2.0,3.0,10.0
41,CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,436.7510000000002,6.554300000000003,1.0,3.0,6.288192770958809
42,CHEMBL128414,O=C(O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,464.30500000000006,5.738200000000003,2.0,4.0,7.017728766960431
43,CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,457.9140000000001,5.481620000000003,1.0,5.0,7.443697499232712
44,CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,416.3330000000001,6.2093200000000035,1.0,3.0,6.958607314841775
45,CHEMBL128686,CC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,441.9150000000001,5.897620000000003,1.0,4.0,7.327902142064283
46,CHEMBL128781,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(F)cccc1Cl,active,403.8410000000001,5.525700000000002,1.0,3.0,7.318758762624412
48,CHEMBL127275,Cc1cc([N+](=O)[O-])cc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,444.8750000000001,5.603220000000003,1.0,5.0,7.180456064458132
49,CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,534.4440000000002,5.331400000000005,2.0,5.0,7.096910013008056
50,CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,399.8780000000001,5.695020000000003,1.0,3.0,7.267606240177032
51,CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,active,399.8780000000001,5.695020000000003,1.0,3.0,6.7447274948966935
52,CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,435.31100000000015,5.622200000000002,2.0,4.0,6.698970004336019
53,CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,active,471.19600000000014,7.207700000000003,1.0,3.0,7.494850021680094
55,CHEMBL129380,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1,active,351.40600000000006,4.733200000000003,1.0,3.0,6.221848749616356
56,CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,active,430.3600000000001,6.517740000000003,1.0,3.0,6.585026652029182
57,CHEMBL341364,COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,395.45900000000006,5.050220000000004,1.0,4.0,7.0
58,CHEMBL423517,O=C1NCc2nc(NCc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,active,435.2610000000002,5.640000000000003,2.0,3.0,6.468521082957745
59,CHEMBL129112,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,active,443.88700000000006,5.173200000000003,1.0,5.0,7.096910013008056
60,CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,active,478.3320000000001,5.826600000000003,1.0,5.0,8.045757490560675
