"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"46",7.32790214206428,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,10,4,3
"47",7.31875876262441,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,1,0,0,18,0,0,10,3,3
"48",5.70114692359029,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,0,11,4,4
"49",7.18045606445813,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,12,4,4
"50",7.09691001300806,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,2,1,0,0,1,0,0,18,0,0,16,9,8
"51",7.26760624017703,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,0,10,4,3
"52",6.74472749489669,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,0,10,4,3
"53",6.69897000433602,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,18,0,0,10,3,3
"54",7.49485002168009,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,1,0,0,18,0,0,11,4,3
"55",5.73282827159699,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,1,10,3,4
"56",6.22184874961636,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,18,0,0,10,3,3
"57",6.58502665202918,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,18,0,0,10,5,3
"58",7,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,18,0,0,12,5,4
"59",6.46852108295774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,18,0,0,10,6,4
"60",7.09691001300806,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,1,0,0,1,0,0,18,0,0,13,4,5
"61",8.04575749056067,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,1,0,0,1,0,0,18,0,0,13,4,5
"62",6.95860731484178,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,18,0,1,10,3,4
