924,969
14,0.8
32,3
13,4
94,36
19,126
10,149
63,2
23,38
5,217
5,241
4,47
3,17
1,35
2,22
0.1,26
530,100
670,3
2.4,17
0.8,106
2,89
0.8,463.8
1,69
0.6,43.2
182,59.3
1.1,42.2
1.2,60.2
1.9,31
0.6,36.6
250,90.5
440,38
9,382.4
130,107.3
79,294.9
47,137.8
16,151.5
6,168.5
2,192.1
18,34.7
63,81.8
160,95.8
230,43
650,182.3
270,35.7
610,94.3
21,32
10,35
23,25.1
42,47.2
33,69.1
40,690.6
34,161.8
200,304.8
160,193.2
76,903.2
450,0.28
240,0.2
150,0.2
86,0.4
460,0.1
850,0.4
550,0.3
970,0.2
610,1.4
0.7,1.2
967,0.7
174,0.8
411,13.1
24,0.4
149,2.7
39,1.3
228,32.9
802,2.6
23,1.6
21,0.6
208,1.1
9,34.9
17,17.6
17,4.2
15,1.3
37,0.9
24,6.7
126,5.3
38,40.9
5,32.5
8,129.3
491,659.1
14,374.4
42,106.7
20,129
70,2.7
0.74,4.4
444,1.8
2.6,73
3.7,56
1.1,34
3.2,290
269,9.4
3.3,11
8.5,210
1.5,84
4,11
1.2,23
4,12
1,14
1.1,23
13,2.2
7.8,5.4
2.9,5.4
1.1,26
6.1,515
3.3,58
1.9,10
1.1,316.2
1.9,7
1.4,0.9
51,35
110,1
350,1
450,88
440,45
170,24
220,40
220,13
45,55
680,36
760,29
420,27
370,184
470,15
420,15
310,27
95,20
230,38
250,18
400,21
96,28
75,23
10,22
299,42
32,14
34,222
187,61
140,51
752,41
330,20
133,3
251,44
105,29
15,19
224,19
50,16
488,27
110,18
51,20
108,18
135,5
200,5
