1.1,370
0.4,79.3
44,4.8
0.9,24.9
3,16.3
7,7.2
0.5,141
47,106
170,28.3
0.1,33.3
0.13,181
44,241
0.1,7.8
11,60.8
2.6,39.9
7,46.5
1.1,20.5
0.5,322
0.6,201
11,293
320,367
0.2,212
2.4,12.3
0.5,889
11,26.1
0.2,85
0.6,160
6,25
0.6,0.74
1,960
1.2,405.2
79,16
130,48.8
22,60.1
1.4,100.2
0.3,94.4
0.2,105.2
30,468.4
67,11
1.5,96.3
0.1,121.7
515,1.6
96,4.6
36,5
110,8.5
47,12
48,3
66,43
80,3.3
54,10
180,36
200,2.1
32,1.7
600,1.4
260,3
100,4.1
340,2.3
80,7.7
9,2.7
110,10
38,1.6
25,6.3
450,1.7
23,48.3
30,90
69,25.3
113,54.7
120,31.6
230,39.2
350,40.5
49,26.5
16,99.6
270,67.3
170,41
100,70
390,106
33,14
19,70
230,126
610,68
18,111
27,71
1.5,80
480,48
45,35
12,184
3,88
42,31
1.4,205
83,19
8.5,47
20,152
86,110
53,94
34,88
170,198
20,82
160,46
53,54
58,903
9.6,50
79,14
145,4.5
5,2
437,2
574,15
7,18.4
12,1
29,189.3
143,1
4,105.5
39,2.2
38,0.9
811,328
10,111
29,299
193,78
101,8.4
63,55.8
54,6.1
13,2.7
21,2.7
42,2.7
139,3.1
68,1.4
24,2.6
185,14.5
217,2.7
5,2.1
172,3.9
98,3.1
895,2.9
1,1.6
3,110
53,65
1,397
400,166
6.5,259
86,18
21,222
3,24
58,13
370,10
120,12
120,27
120,31
920,41
260,50
290,72
36,35
160,7.1
200,3.9
190,225
2,520
710,314
100,52
220,52
20,22
53,859
35,42
70,114
160,17
13,17
140,16
420,4
270,8
37,5
183,46
310,16
42,573
54,5
110,8
235,6
69,2
69,7
200,16
44,223
290,292
45,384
430,57
33,508
38,949
87,48
57,68
260,27
67,50
220,7
413,16
27,9
56,119
44,25
88,48
610,15
482,5
180,145
43,14
28,8
947,7
741,7
750,5
387,3
119,2
660,3
210,4
73,2
33,2
32,2
12,7
253,2
34,5
6,6
441,4
290,5
270,4
57,91
830,42
32,10
663,158
42,223
44,21
400,5
464,106
60,50
130,14
650,1
79,594
215,4
87,15
25,15
132,111
312,2
35,42
44,11
53,40
33,18
41,1
165,9
209,2
290,20
7.4,6
20,1
119,12
43,7
6,2
15,1
180,260
42,4
114,31
30,67
110,25
23,85.4
6.6,134
18.7,151
120,209
19,317
32,453
34.3,60
89.7,193
95,1.05
406,12
453,12
56,2
85.4,9.5
29,34
177,48.5
105,8.5
41,3
39,21
250,325
15.2,4
174,0.22
500,6
10.7,10
82,3
151,275
11,20
317,12
797,9
13,1.2
60,8
75,130
599,2
14,0.9
15.7,1.3
325,1.4
130,5
189,3
300,3
13,4
56,5
130,6
134,7
21.6,8
125,10
4.9,10
4.2,11
4.3,11
4.7,12
4.5,12
15.9,14
4.4,14
4.8,15
15.3,18
2.7,19
5.5,19
19.9,27
22.8,35
20.7,36
460,40
520,44
84,45
48,51
30,52
0.9,55
5,55
15,59
53,88
94,140
20,230
240,240
26,0.08
8.8,0.09
13,1.65
7.9,1.4
5.6,1
8.1,0.9
7.1,1.4
30,0.8
31,1.8
31,1.8
91,2.3
110,5.6
210,5.2
120,7.4
130,6.7
13,13
13,62
6.7,72
5.1,32
8.1,583
3,741
160,7.4
14,7.6
26,173
37,880
34,9
11,135
9.1,18
90,87
295,2
116,4.7
54,0.9
217,38
28,4
31,0.4
30,0.16
18,0.06
46,38
13,5
8.7,1.2
3.2,34
24,68
3.7,144
16,195
4.4,333
0.26,148
1.87,141
1.6,41
10.5,66
7.1,90
1.3,422
3.2,81
0.84,77
6.7,37
8.1,14
1.4,0.82
0.51,0.49
0.38,0.72
0.3,0.59
0.1,0.53
0.14,29
0.31,14
1.15,0.27
0.51,17
0.61,0.28
0.45,11
40,0.26
199,0.13
251,0.5
581,0.46
180,9
162,135
50,639
171,1.3
37,1.4
33.2,2
2.8,6.3
15.4,16.9
6.2,4.1
18.3,1.1
37.8,2.8
6.6,1
4.3,1
17.7,1.6
13.5,1.9
3,1.2
4.6,1
5.8,2.3
14.6,2.5
22.3,190
12.4,18
2.2,35
5.1,220
2.5,89
43.2,15
4.1,108
3.2,65
7.2,20
83.3,9
11.1,708
26.4,14
8.3,29
14.5,484
24.5,155
5.6,108
8,525
54.5,25
16.6,181
47.2,26
5.4,9
9.2,347
544,72
83.2,276
285,200
19.5,6.7
21.6,11
15.3,692
7.6,54
55.5,16
17.7,156
10.9,83
8.8,437
5.5,261
198,813
4.7,17
17.9,21
14,39
12.3,761
0.4,34
0.4,45
3.5,35
11.8,590
19.9,480
3.5,594
0.7,13.4
3.75,45
1.1,24
1.1,35
25,43
24,35
3,11
9.7,73
1.5,454
6,24
2,20
0.2,8.4
4.2,4.7
5.3,4.3
2,7
3,46
1.1,41
0.8,35
1.9,34
4,32
2,23
5.6,14
4.2,13
0.5,11
1,8.9
20,8.6
4,8
2,7.7
2,7.7
1.2,5.4
