,hv,std.error,Label,,,,,,,,,,
100,0.000699537,0.595971184,Internal,,,,,,,,,,
101,0.000488352,0.370213243,Internal,,,,,,,,,,
102,0.000834837,0.216365929,Internal,,,,,,,,,,
103,0.000675498,-1.761227085,Internal,,,,,,,,,,
104,0.000720276,-2.15392141,Internal,,,,,,,,,,
105,0.001382651,-2.00546452,Internal,,,,,,,,,,
106,0.000489795,-0.024315209,Internal,,,,,,,,,,
107,0.001600852,0.576247272,Internal,,,,,,,,,,
108,0.000458072,-0.019644687,Internal,,,,,,,,,,
109,0.000747287,1.114183353,Internal,,,,,,,,,,
110,0.000464726,-0.58690106,Internal,,,,,,,,,,
111,0.000488352,-0.56034542,Internal,,,,,,,,,,
112,0.000624112,-1.148452398,Internal,,,,,,,,,,
113,0.00083856,1.607005394,Internal,,,,,,,,,,
114,0.000675812,0.254683531,Internal,,,,,,,,,,
115,0.001087677,0.269641105,Internal,,,,,,,,,,
116,0.000488352,-0.167483277,Internal,,,,,,,,,,
117,0.000902256,0.720879173,Internal,,,,,,,,,,
118,0.000551933,1.103496322,Internal,,,,,,,,,,
119,0.000486033,0.50967193,Internal,,,,,,,,,,
120,0.000457532,-0.408265676,Internal,,,,,,,,,,
121,0.000605373,-0.424062999,Internal,,,,,,,,,,
122,0.000463506,-0.064840895,Internal,,,,,,,,,,
123,0.000775712,-0.498092435,Internal,,,,,,,,,,
124,0.000591755,0.995484277,Internal,,,,,,,,,,
125,0.000743119,-0.467884263,Internal,,,,,,,,,,
126,0.004161268,0.506518671,Internal,,,,,,,,,,
127,0.0006409,-0.522318641,Internal,,,,,,,,,,
128,0.004161268,2.438204672,Internal,,,,,,,,,,
129,0.000775069,0.775579778,Internal,,,,,,,,,,
130,0.000488352,-0.257557021,Internal,,,,,,,,,,
131,0.004161268,1.648058327,Internal,,,,,,,,,,
132,0.000605366,-0.20865663,Internal,,,,,,,,,,
133,0.000540151,0.02745714,Internal,,,,,,,,,,
134,0.001434164,-0.473520573,Internal,,,,,,,,,,
135,0.00087483,-0.924565478,Internal,,,,,,,,,,
136,0.001382651,-0.38805174,Internal,,,,,,,,,,
137,0.000559098,-0.563772904,Internal,,,,,,,,,,
138,0.0004713,0.471247692,Internal,,,,,,,,,,
139,0.000877089,-0.752625173,Internal,,,,,,,,,,
140,0.000553882,-0.765069187,Internal,,,,,,,,,,
141,0.001078545,-1.4759492,Internal,,,,,,,,,,
142,0.000475303,-0.33561664,Internal,,,,,,,,,,
143,0.00082727,-0.15375738,Internal,,,,,,,,,,
144,0.000492394,-0.285855819,Internal,,,,,,,,,,
145,0.000558732,0.464805273,Internal,,,,,,,,,,
146,0.000464629,0.22848839,Internal,,,,,,,,,,
147,0.000458072,-0.744184821,Internal,,,,,,,,,,
148,0.000492394,0.178456282,Internal,,,,,,,,,,
149,0.000684359,0.23259419,Internal,,,,,,,,,,
150,0.000457629,0.06397589,Internal,,,,,,,,,,
151,0.000559098,-0.487275588,Internal,,,,,,,,,,
152,0.000547597,-0.134651805,Internal,,,,,,,,,,
153,0.000652562,0.165923089,Internal,,,,,,,,,,
154,0.000464726,-0.078340957,Internal,,,,,,,,,,
155,0.000877089,-0.076966932,Internal,,,,,,,,,,
156,0.000910762,2.695662044,Internal,,,,,,,,,,
