standatd,pIC50
290,6.537602002
36,7.443697499
160,6.795880017
200,6.698970004
190,6.721246399
2,8.698970004
710,6.148741651
100,7
220,6.657577319
20,7.698970004
53,7.27572413
35,7.455931956
70,7.15490196
160,6.795880017
13,7.886056648
140,6.853871964
420,6.37675071
270,6.568636236
37,7.431798276
183,6.73754891
310,6.508638306
42,7.37675071
54,7.26760624
110,6.958607315
235,6.628932138
69,7.161150909
69,7.161150909
200,6.698970004
44,7.356547324
290,6.537602002
45,7.346787486
430,6.366531544
33,7.48148606
38,7.420216403
87,7.060480747
57,7.244125144
260,6.585026652
67,7.173925197
220,6.657577319
413,6.384049948
27,7.568636236
56,7.251811973
44,7.356547324
88,7.055517328
610,6.214670165
482,6.316952962
180,6.744727495
43,7.366531544
28,7.552841969
947,6.023650021
741,6.130181792
750,6.124938737
387,6.412289035
119,6.924453039
660,6.180456064
210,6.677780705
73,7.13667714
33,7.48148606
32,7.494850022
12,7.920818754
253,6.596879479
34,7.468521083
6,8.22184875
441,6.355561411
290,6.537602002
270,6.568636236
57,7.244125144
830,6.080921908
32,7.494850022
663,6.178486472
42,7.37675071
44,7.356547324
400,6.397940009
464,6.333482019
60,7.22184875
130,6.886056648
650,6.187086643
79,7.102372909
215,6.66756154
87,7.060480747
25,7.602059991
132,6.879426069
312,6.505845406
35,7.455931956
44,7.356547324
53,7.27572413
33,7.48148606
41,7.387216143
165,6.782516056
209,6.679853714
290,6.537602002
7.4,8.13076828
20,7.698970004
119,6.924453039
43,7.366531544
6,8.22184875
15,7.823908741
180,6.744727495
42,7.37675071
114,6.943095149
30,7.522878745
110,6.958607315
23,7.638272164
6.6,8.180456064
18.7,7.728158393
120,6.920818754
19,7.721246399
32,7.494850022
34.3,7.46470588
89.7,7.047207557
95,7.022276395
406,6.391473966
453,6.343901798
56,7.251811973
85.4,7.068542129
29,7.537602002
177,6.752026734
105,6.978810701
41,7.387216143
39,7.408935393
250,6.602059991
15.2,7.818156412
174,6.759450752
500,6.301029996
10.7,7.970616222
82,7.086186148
151,6.821023053
11,7.958607315
317,6.498940738
797,6.098541679
13,7.886056648
60,7.22184875
75,7.124938737
599,6.222573178
14,7.853871964
15.7,7.804100348
325,6.488116639
130,6.886056648
189,6.723538196
300,6.522878745
13,7.886056648
56,7.251811973
130,6.886056648
134,6.872895202
21.6,7.665546249
125,6.903089987
4.9,8.30980392
4.2,8.37675071
4.3,8.366531544
4.7,8.327902142
4.5,8.346787486
15.9,7.798602876
4.4,8.356547324
4.8,8.318758763
15.3,7.815308569
2.7,8.568636236
5.5,8.259637311
19.9,7.701146924
22.8,7.642065153
20.7,7.684029655
460,6.337242168
520,6.283996656
84,7.075720714
48,7.318758763
30,7.522878745
0.9,9.045757491
5,8.301029996
15,7.823908741
53,7.27572413
94,7.026872146
20,7.698970004
240,6.619788758
26,7.585026652
8.8,8.055517328
13,7.886056648
7.9,8.102372909
5.6,8.251811973
8.1,8.091514981
7.1,8.148741651
30,7.522878745
31,7.508638306
31,7.508638306
91,7.040958608
110,6.958607315
210,6.677780705
120,6.920818754
130,6.886056648
13,7.886056648
13,7.886056648
6.7,8.173925197
5.1,8.292429824
8.1,8.091514981
3,8.522878745
160,6.795880017
14,7.853871964
26,7.585026652
37,7.431798276
34,7.468521083
11,7.958607315
9.1,8.040958608
90,7.045757491
295,6.530177984
116,6.935542011
54,7.26760624
217,6.663540266
28,7.552841969
31,7.508638306
30,7.522878745
18,7.744727495
46,7.337242168
13,7.886056648
8.7,8.060480747
3.2,8.494850022
24,7.619788758
3.7,8.431798276
16,7.795880017
4.4,8.356547324
0.26,9.585026652
1.87,8.728158393
1.6,8.795880017
10.5,7.978810701
7.1,8.148741651
1.3,8.886056648
3.2,8.494850022
0.84,9.075720714
6.7,8.173925197
8.1,8.091514981
1.4,8.853871964
0.51,9.292429824
0.38,9.420216403
0.3,9.522878745
0.1,10
0.14,9.853871964
0.31,9.508638306
